px py yaw vaim_x vaim_y vset_x vset_y min_dist
1.68886 0.759373 2.24959 1.33981 0.0374348 0.715461 -0.147974 0.248968
1.67444 0.795268 2.27806 1.33981 0.0374348 0.715461 -0.147974 0.276453
1.65789 0.829014 2.29937 1.36629 0.15161 0.696408 -0.0435914 0.276453
1.63846 0.860916 2.32961 1.35925 0.205399 0.676257 0.0526759 0.304097
1.6168 0.887586 2.34787 1.35172 0.250204 0.652245 0.120542 0.332723
1.5915 0.910799 2.37623 1.35172 0.250204 0.652245 0.120542 0.332723
1.56478 0.932201 2.40284 1.34336 0.291753 0.614629 0.182758 0.320066
1.53737 0.950736 2.4302 1.34823 0.351983 0.601472 0.183866 0.296705
1.51003 0.96681 2.45947 1.34823 0.351983 0.601472 0.183866 0.296705
1.48183 0.982052 2.49012 1.33217 0.300794 0.588576 0.184936 0.283324
1.45317 0.9965 2.51839 1.33675 0.27976 0.575329 0.161105 0.28531
1.42521 1.01003 2.54811 1.33431 0.251459 0.575329 0.161105 0.28531
1.39797 1.02234 2.57219 1.33546 0.245284 0.593087 0.110187 0.28998
1.37036 1.0352 2.59913 1.29579 0.204768 0.623326 0.0451233 0.299338
1.34255 1.05072 2.62439 1.29579 0.204768 0.623326 0.0451233 0.299338
1.31401 1.06764 2.65326 1.29463 0.211961 0.645881 -0.0430144 0.310547
1.28575 1.08576 2.67817 1.24284 0.156163 0.642155 -0.0881967 0.307287
1.25818 1.10606 2.70092 1.24284 0.156163 0.642155 -0.0881967 0.307287
1.23118 1.12641 2.72177 1.39957 0.208228 0.621133 -0.0644867 0.302848
1.2038 1.14499 2.74295 1.39952 0.20854 0.61589 -0.0517818 0.302802
1.17545 1.16174 2.76686 1.38032 0.193037 0.61589 -0.0517818 0.302802
1.1479 1.17773 2.78474 1.37747 0.212445 0.602925 0.0047402 0.299814
1.11936 1.19124 2.80547 1.37422 0.23258 0.619218 0.078208 0.302752
1.08927 1.20187 2.83005 1.35711 0.221351 0.619218 0.078208 0.302752
1.0577 1.21031 2.84679 1.34769 0.272896 0.556249 0.146393 0.304305
1.027 1.216 2.86977 1.35756 0.342724 0.488303 0.226451 0.301969
0.999102 1.21698 2.88981 1.35756 0.342724 0.488303 0.226451 0.301969
0.973454 1.21467 2.90517 1.35148 0.396098 0.418102 0.255414 0.291548
0.947795 1.21105 2.92724 1.3316 0.45849 0.350322 0.310586 0.267501
0.925649 1.20423 2.94433 1.3316 0.45849 0.350322 0.310586 0.267501
0.905581 1.19582 2.95458 1.30003 0.497852 0.306442 0.348093 0.247529
0.885462 1.18623 2.96858 1.27731 0.553556 0.289018 0.393243 0.23825
0.866654 1.17464 2.98236 1.28892 0.512969 0.292882 0.36761 0.23825
0.84927 1.1622 2.99192 1.27891 0.537432 0.277711 0.409371 0.233716
0.831299 1.14901 3.01063 1.33861 0.476725 0.269195 0.424945 0.235351
0.814247 1.13468 3.01927 1.33861 0.476725 0.269195 0.424945 0.235351
0.79709 1.11925 3.02622 1.30541 0.435921 0.276038 0.429243 0.238746
0.780402 1.10331 3.03344 1.30945 0.423641 0.295965 0.436866 0.247414
0.763552 1.08683 3.0423 1.30945 0.423641 0.295965 0.436866 0.247414
0.746374 1.07033 3.04902 1.34405 0.354487 0.30572 0.350714 0.256357
0.728995 1.05528 3.05025 1.34665 0.344485 0.33047 0.392344 0.267424
0.710439 1.04166 3.05403 1.34665 0.344485 0.33047 0.392344 0.267424
0.690836 1.02762 3.05781 1.35276 0.319644 0.338866 0.421939 0.277649
0.671452 1.01261 3.05865 1.36625 0.239101 0.367468 0.389643 0.285975
0.65165 0.997167 3.06002 1.40715 0.219436 0.365479 0.376443 0.285975
0.631459 0.982207 3.06 1.41027 0.198434 0.470252 0.439442 0.294493
0.609787 0.966716 3.06046 1.40962 0.122098 0.524192 0.443848 0.298296
0.585847 0.949804 3.05098 1.40962 0.122098 0.524192 0.443848 0.298296
0.558699 0.933365 3.04176 1.46044 0.0461602 0.581458 0.371088 0.305137
0.529387 0.919114 3.03195 1.46113 0.00951352 0.616972 0.269627 0.315734
0.49852 0.909287 3.02139 1.46365 -0.0066502 0.616972 0.269627 0.315734
0.466436 0.902309 3.01044 1.46255 -0.0570021 0.641782 0.163243 0.332199
0.433612 0.898669 3.00443 1.45979 -0.106319 0.662048 0.0493052 0.345308
0.400117 0.899892 2.9948 1.44912 -0.112729 0.662048 0.0493052 0.345308
0.367198 0.904322 2.98544 1.44444 -0.16195 0.676789 -0.0410575 0.328751
0.333791 0.911128 2.97721 1.47499 -0.184867 0.699064 -0.119354 0.319209
0.300442 0.922246 2.96841 1.47499 -0.184867 0.699064 -0.119354 0.319209
0.267065 0.935315 2.96096 1.45594 -0.179539 0.72523 -0.170545 0.315722
0.233175 0.949902 2.95166 1.45433 -0.192119 0.760026 -0.205011 0.318423
0.198513 0.967337 2.94385 1.41985 -0.15751 0.760026 -0.205011 0.318423
0.162902 0.986032 2.93788 1.42064 -0.150165 0.645237 -0.0412497 0.324873
0.129599 0.999951 2.93428 1.42079 -0.148728 0.534085 -0.0460177 0.328678
0.101221 1.00905 2.92742 1.43943 -0.102936 0.534085 -0.0460177 0.328678
0.0756558 1.01741 2.92404 1.43893 -0.109821 0.315207 -0.137294 0.280998
0.0557623 1.02666 2.9146 1.41043 -0.0574274 0.212346 -0.126672 0.24702
0.044652 1.03552 2.91198 1.41043 -0.0574274 0.212346 -0.126672 0.24702
