state No tNow cmdX cmdY cmdZ cmdYaw realX realY realZ realYaw aimX aimY aimZ aimYaw ubarX ubarY ubarZ uresX uresY uresZ setVx setVy setVz roll pitch yaw SAFE_DS ALPHA_V
52 2 2.20027 -6.04894 1.50219 39626.7 25.3354 1.19834 0.728945 -0.00122844 -0.127059 1.23335 0.766655 0.475022 0 0.0595101 0.064107 0.56 0.0595101 0.064107 0.56 0 0 0 -0.0166951 -0.00280951 0.254839 0.3 0.3
52 0 2.25025 6.79783 -4.58188 39353.6 -0.558862 -1.02931 -0.981091 0.0212952 -0.00167657 -1 -1 0.50001 0 0.0498217 -0.0321445 0.56 0.0498217 -0.0321445 0.56 0 0 0 -0.00534626 0.0216379 0.0032955 0.3 0.3
52 1 2.25025 -2.02463 12.5062 38506.9 7.97797 0.641998 1.43313 0.00359569 -0.046381 0.766655 1.23335 0.50001 0 0.211917 -0.339626 0.56 0.171606 -0.288625 0.56 0 0 0 0.0758719 0.00658118 0.0931124 0.3 0.3
52 2 2.25025 -6.10923 1.31115 39650.4 24.6105 1.19846 0.729111 -0.000646142 -0.125669 1.23335 0.766655 0.50001 0 0.0593056 0.0638236 0.56 0.0593056 0.0638236 0.56 0 0 0 -0.0223926 0.00904412 0.251922 0.3 0.3
52 0 2.30024 7.14328 -4.32213 38709.9 -1.8315 -1.02969 -0.980182 0.0233355 0.00189018 -1 -1 0.525006 0 0.0504649 -0.0336911 0.56 0.0504649 -0.0336911 0.56 0 0 0 -0.0273591 0.00843323 -0.00389613 0.3 0.3
52 1 2.30024 -1.84046 11.621 36942 7.07469 0.642866 1.43041 0.00891711 -0.0427347 0.766655 1.23335 0.525006 0 0.210441 -0.335009 0.56 0.172553 -0.287286 0.56 0 0 0 0.139304 -0.000503927 0.0856682 0.3 0.3
52 2 2.30024 -6.42627 1.81512 37711.1 20.0628 1.19899 0.729927 0.00255109 -0.117835 1.23335 0.766655 0.525006 0 0.0584066 0.0624379 0.56 0.0584066 0.0624379 0.56 0 0 0 -0.0557549 0.0558011 0.234846 0.3 0.3
52 0 2.35024 7.17527 -3.61751 37509.4 1.23059 -1.03021 -0.978128 0.0279692 -0.000682896 -1 -1 0.550005 0 0.0513629 -0.0371818 0.56 0.0513629 -0.0371818 0.56 0 0 0 -0.0323831 -0.00887975 0.00150977 0.3 0.3
52 1 2.35024 -1.58661 11.0009 35867.6 1.29826 0.644142 1.4258 0.0182753 -0.0307225 0.766655 1.23335 0.550005 0 0.208272 -0.327171 0.56 0.174381 -0.284914 0.56 0 0 0 0.141527 -0.00258795 0.0614255 0.3 0.3
52 2 2.35024 -7.17583 2.4785 36373 15.4183 1.20066 0.731912 0.00951102 -0.105109 1.23335 0.766655 0.550005 0 0.05557 0.0590628 0.56 0.05557 0.0590628 0.56 0 0 0 -0.082001 0.0724635 0.20795 0.3 0.3
52 0 2.40023 7.47923 -3.35218 35626.2 -3.34482 -1.03126 -0.97519 0.0370347 0.00525548 -1 -1 0.575003 0 0.0531392 -0.0421772 0.56 0.0531392 -0.0421772 0.56 0 0 0 -0.0217111 -0.0355613 -0.0101272 0.3 0.3
52 1 2.40023 -1.18709 9.29749 34321.8 0.823821 0.645647 1.41771 0.0328846 -0.0213229 0.766655 1.23335 0.575003 0 0.205713 -0.313418 0.56 0.178397 -0.28005 0.56 0 0 0 0.175384 0.0102943 0.0437193 0.3 0.3
52 2 2.40023 -7.90766 3.86019 36272.5 11.4193 1.20359 0.736138 0.0197856 -0.0890602 1.23335 0.766655 0.575003 0 0.0505782 0.0518785 0.56 0.0505782 0.0518785 0.56 0 0 0 -0.0610291 0.0585294 0.176729 0.3 0.3
